freq_hz,rx_volts,ref_volts,rx_peak_counts
35980.22,1.403060e-03,1.105534e-02,50
36254.88,1.780370e-03,1.106839e-02,51
36483.76,2.663103e-03,1.109173e-02,51
36758.42,3.682259e-03,1.108848e-02,52
36987.30,4.811257e-03,1.102590e-02,55
37261.96,6.592173e-03,1.101278e-02,57
37490.84,8.506035e-03,1.112542e-02,58
37765.50,1.197332e-02,1.121213e-02,61
37994.38,1.526587e-02,1.100752e-02,62
38269.04,2.069733e-02,1.077801e-02,66
38497.92,2.768382e-02,1.103003e-02,71
38772.58,3.739171e-02,1.150225e-02,77
39001.46,5.132396e-02,1.116586e-02,86
39230.35,6.735415e-02,1.011992e-02,96
39505.00,9.743688e-02,1.028453e-02,116
39733.89,1.419921e-01,1.272129e-02,147
40008.54,2.400036e-01,1.214287e-02,211
40237.43,3.638451e-01,4.479042e-03,292
40512.08,6.019054e-01,1.729657e-02,448
40740.97,7.043220e-01,1.926922e-02,517
41015.62,5.408451e-01,3.960445e-03,408
41244.51,3.494070e-01,1.483542e-02,283
41519.17,1.883094e-01,1.245883e-02,176
41748.05,1.000426e-01,9.744451e-03,117
42022.71,5.821553e-02,1.034785e-02,90
42251.59,4.317188e-02,1.119886e-02,80
42480.47,3.310132e-02,1.151397e-02,73
42755.13,2.558377e-02,1.115250e-02,69
42984.01,2.075755e-02,1.087999e-02,63
43258.67,1.676159e-02,1.095569e-02,60
43487.55,1.365953e-02,1.117971e-02,59
43762.21,1.039091e-02,1.126699e-02,55
43991.09,8.543130e-03,1.114271e-02,54
