freq_hz,rx_volts,ref_volts,rx_peak_counts
40420.53,5.230350e-01,1.221400e-02,393
40466.31,5.644700e-01,1.507000e-02,420
40512.08,6.021250e-01,1.779500e-02,444
40557.86,6.170790e-01,1.957800e-02,455
40603.64,6.909660e-01,2.156500e-02,502
40649.41,6.975140e-01,2.157600e-02,507
40695.19,7.183730e-01,2.093800e-02,520
40740.97,7.315960e-01,1.934200e-02,529
40786.74,7.285380e-01,1.605600e-02,528
40832.52,7.065980e-01,1.221600e-02,513
40878.30,6.963330e-01,7.908000e-03,507
40969.85,6.166910e-01,9.400000e-04,454
41015.62,5.739590e-01,4.763000e-03,426
41061.40,5.297370e-01,8.305000e-03,396
41107.18,4.893670e-01,1.107900e-02,370
